start_time,end_time,max_value,avg_value,length,duration,time_diff
2024-05-28 07:31:58+00:00,2024-05-28 07:32:02+00:00,70.07,67.9075,4,4.0,19.0
2024-05-28 07:32:03+00:00,2024-05-28 07:32:06+00:00,73.37,68.36666666666666,3,3.0,5.0
2024-05-28 07:32:08+00:00,2024-05-28 07:32:13+00:00,76.6,71.686,5,5.0,5.0
2024-05-28 07:32:19+00:00,2024-05-28 07:32:28+00:00,75.94,69.08,9,9.0,11.0
2024-05-28 07:32:30+00:00,2024-05-28 07:32:34+00:00,71.8,68.71000000000001,4,4.0,11.0
2024-05-28 07:32:36+00:00,2024-05-28 07:32:39+00:00,68.8,67.94,3,3.0,6.0
2024-05-28 07:34:07+00:00,2024-05-28 07:34:15+00:00,77.26,72.9075,8,8.0,91.0
2024-05-28 07:35:43+00:00,2024-05-28 07:35:46+00:00,77.74,74.90666666666667,3,3.0,96.0
2024-05-28 07:36:31+00:00,2024-05-28 07:36:36+00:00,77.85,69.764,5,5.0,48.0
2024-05-28 07:38:35+00:00,2024-05-28 07:38:38+00:00,68.53,67.32333333333334,3,3.0,124.0
2024-05-28 07:38:39+00:00,2024-05-28 07:39:00+00:00,82.58,70.39142857142858,21,21.0,4.0
2024-05-28 07:39:01+00:00,2024-05-28 07:39:31+00:00,88.39,72.25333333333333,30,30.0,22.0
2024-05-28 07:41:59+00:00,2024-05-28 07:42:14+00:00,74.86,68.92466666666665,15,15.0,67.0
2024-05-28 07:42:32+00:00,2024-05-28 07:42:42+00:00,75.61,69.277,10,10.0,33.0
2024-05-28 07:43:08+00:00,2024-05-28 07:43:11+00:00,71.84,70.65333333333334,3,3.0,36.0
2024-05-28 07:43:13+00:00,2024-05-28 07:43:16+00:00,66.00999999999999,65.54333333333334,3,3.0,5.0
2024-05-28 07:44:47+00:00,2024-05-28 07:45:02+00:00,73.87,67.886,15,15.0,90.0
2024-05-28 07:45:03+00:00,2024-05-28 07:45:07+00:00,66.71000000000001,66.285,4,4.0,16.0
2024-05-28 07:45:09+00:00,2024-05-28 07:45:22+00:00,69.93,67.61692307692307,13,13.0,6.0
2024-05-28 07:47:02+00:00,2024-05-28 07:47:07+00:00,80.97,73.7,5,5.0,98.0
2024-05-28 07:47:13+00:00,2024-05-28 07:47:18+00:00,67.72999999999999,66.0,5,5.0,11.0
2024-05-28 07:47:23+00:00,2024-05-28 07:47:27+00:00,79.31,77.52250000000001,4,4.0,10.0
2024-05-28 07:47:54+00:00,2024-05-28 07:49:20+00:00,75.62,68.31127906976745,86,86.0,31.0
2024-05-28 07:49:33+00:00,2024-05-28 07:49:38+00:00,66.50999999999999,65.896,5,5.0,99.0
2024-05-28 07:49:49+00:00,2024-05-28 07:49:53+00:00,66.84,66.0575,4,4.0,16.0
2024-05-28 07:50:13+00:00,2024-05-28 07:51:05+00:00,76.0,69.42,52,52.0,24.0
2024-05-28 07:51:06+00:00,2024-05-28 07:51:10+00:00,67.25,66.3225,4,4.0,53.0
2024-05-28 07:51:14+00:00,2024-05-28 07:51:39+00:00,79.94,69.454,25,25.0,8.0
2024-05-28 07:51:41+00:00,2024-05-28 07:51:47+00:00,70.59,67.325,6,6.0,27.0
2024-05-28 07:51:53+00:00,2024-05-28 07:52:02+00:00,67.97,66.06555555555556,9,9.0,12.0
2024-05-28 07:52:05+00:00,2024-05-28 07:53:21+00:00,81.49,72.2442105263158,76,76.0,12.0
2024-05-28 07:53:22+00:00,2024-05-28 07:53:41+00:00,71.4,68.87052631578948,19,19.0,77.0
2024-05-28 07:53:50+00:00,2024-05-28 07:53:53+00:00,66.39,66.08999999999999,3,3.0,28.0
2024-05-28 07:53:54+00:00,2024-05-28 07:54:04+00:00,69.72999999999999,68.064,10,10.0,4.0
2024-05-28 07:54:54+00:00,2024-05-28 07:56:36+00:00,78.53,70.75686274509803,102,102.0,60.0
2024-05-28 07:56:52+00:00,2024-05-28 07:56:58+00:00,67.49000000000001,66.03833333333334,6,6.0,118.0
2024-05-28 08:01:34+00:00,2024-05-28 08:01:39+00:00,68.45,66.604,5,5.0,267.0
2024-05-28 08:01:55+00:00,2024-05-28 08:02:08+00:00,68.4,66.77,13,13.0,21.0
2024-05-28 08:02:26+00:00,2024-05-28 08:02:36+00:00,73.37,69.795,10,10.0,31.0
2024-05-28 08:02:42+00:00,2024-05-28 08:02:48+00:00,71.82,67.47333333333334,6,6.0,16.0
2024-05-28 08:03:15+00:00,2024-05-28 08:03:19+00:00,70.25999999999999,68.66999999999999,4,4.0,33.0
2024-05-28 08:03:51+00:00,2024-05-28 08:04:20+00:00,83.42,72.01517241379311,29,29.0,36.0
2024-05-28 08:04:21+00:00,2024-05-28 08:04:24+00:00,67.3,66.39999999999999,3,3.0,30.0
2024-05-28 08:04:32+00:00,2024-05-28 08:04:52+00:00,72.34,68.093,20,20.0,11.0
2024-05-28 08:04:56+00:00,2024-05-28 08:04:59+00:00,68.88,67.22333333333333,3,3.0,24.0
2024-05-28 08:05:27+00:00,2024-05-28 08:05:31+00:00,70.38,67.4725,4,4.0,31.0
2024-05-28 08:05:44+00:00,2024-05-28 08:05:52+00:00,69.75999999999999,67.34,8,8.0,17.0
2024-05-28 08:05:58+00:00,2024-05-28 08:06:30+00:00,76.79,68.73375,32,32.0,14.0
2024-05-28 08:06:32+00:00,2024-05-28 08:06:48+00:00,71.16,67.888125,16,16.0,34.0
2024-05-28 08:06:54+00:00,2024-05-28 08:07:14+00:00,70.57,67.7535,20,20.0,22.0
2024-05-28 08:08:02+00:00,2024-05-28 08:08:09+00:00,80.0,71.42285714285714,7,7.0,68.0
2024-05-28 08:08:19+00:00,2024-05-28 08:09:42+00:00,79.51,71.68951807228916,83,83.0,17.0
2024-05-28 08:10:08+00:00,2024-05-28 08:10:13+00:00,70.14,67.08399999999999,5,5.0,109.0
2024-05-28 08:10:24+00:00,2024-05-28 08:10:54+00:00,79.46,70.16166666666666,30,30.0,16.0
2024-05-28 08:11:16+00:00,2024-05-28 08:11:20+00:00,68.18,66.38499999999999,4,4.0,52.0
2024-05-28 08:11:24+00:00,2024-05-28 08:12:10+00:00,78.26,69.17108695652173,46,46.0,8.0
2024-05-28 08:12:30+00:00,2024-05-28 08:12:34+00:00,72.7,69.405,4,4.0,66.0
2024-05-28 08:12:38+00:00,2024-05-28 08:12:41+00:00,72.36,67.56666666666666,3,3.0,8.0
2024-05-28 08:12:45+00:00,2024-05-28 08:12:48+00:00,66.49000000000001,65.94333333333334,3,3.0,7.0
2024-05-28 08:12:58+00:00,2024-05-28 08:14:36+00:00,79.69,69.62510204081633,98,98.0,13.0
2024-05-28 08:14:53+00:00,2024-05-28 08:15:54+00:00,77.59,70.72622950819672,61,61.0,115.0
2024-05-28 08:17:40+00:00,2024-05-28 08:18:00+00:00,77.38,70.998,20,20.0,101.0
2024-05-28 08:18:22+00:00,2024-05-28 08:19:44+00:00,79.06,69.96609756097561,82,82.0,42.0
2024-05-28 08:19:53+00:00,2024-05-28 08:20:02+00:00,68.59,66.6277777777778,9,9.0,91.0
2024-05-28 08:20:38+00:00,2024-05-28 08:20:42+00:00,68.06,67.3675,4,4.0,45.0
2024-05-28 08:20:47+00:00,2024-05-28 08:20:53+00:00,73.27,67.44333333333333,6,6.0,9.0
2024-05-28 08:20:54+00:00,2024-05-28 08:24:04+00:00,87.37,71.43784210526316,190,190.0,7.0
2024-05-28 08:24:07+00:00,2024-05-28 08:24:11+00:00,70.36,68.055,4,4.0,193.0
2024-05-28 08:24:12+00:00,2024-05-28 08:24:38+00:00,73.02,67.43076923076923,26,26.0,5.0
2024-05-28 08:24:39+00:00,2024-05-28 08:24:42+00:00,66.31,65.72333333333334,3,3.0,27.0
2024-05-28 08:28:38+00:00,2024-05-28 08:28:43+00:00,83.77,72.96,5,5.0,220.0
2024-05-28 08:28:46+00:00,2024-05-28 08:28:51+00:00,66.66,66.374,5,5.0,8.0
2024-05-28 08:29:11+00:00,2024-05-28 08:29:21+00:00,69.11,67.499,10,10.0,25.0
2024-05-28 08:30:13+00:00,2024-05-28 08:33:29+00:00,82.68,70.03831632653062,196,196.0,62.0
2024-05-28 08:33:45+00:00,2024-05-28 08:34:13+00:00,72.82,68.18571428571428,28,28.0,212.0
2024-05-28 08:34:17+00:00,2024-05-28 08:35:50+00:00,79.85,70.35021505376343,93,93.0,32.0
2024-05-28 08:36:02+00:00,2024-05-28 08:36:22+00:00,68.66,66.755,20,20.0,105.0
2024-05-28 08:36:59+00:00,2024-05-28 08:37:03+00:00,82.09,79.72500000000001,4,4.0,57.0
2024-05-28 08:37:04+00:00,2024-05-28 08:37:55+00:00,84.63,72.44588235294118,51,51.0,5.0
2024-05-28 08:37:59+00:00,2024-05-28 08:38:03+00:00,70.02000000000001,67.4925,4,4.0,55.0
2024-05-28 08:38:38+00:00,2024-05-28 08:39:09+00:00,76.21,69.74387096774193,31,31.0,39.0
2024-05-28 08:39:10+00:00,2024-05-28 08:40:26+00:00,80.09,72.09526315789473,76,76.0,32.0
2024-05-28 08:40:35+00:00,2024-05-28 08:40:49+00:00,72.32,68.23928571428571,14,14.0,85.0
2024-05-28 08:40:58+00:00,2024-05-28 08:42:41+00:00,81.02,71.1383495145631,103,103.0,23.0
2024-05-28 08:43:02+00:00,2024-05-28 08:43:17+00:00,70.93,66.95333333333333,15,15.0,124.0
2024-05-28 08:43:18+00:00,2024-05-28 08:43:42+00:00,72.94,69.405,24,24.0,16.0
2024-05-28 08:43:47+00:00,2024-05-28 08:43:54+00:00,72.37,68.42714285714285,7,7.0,29.0
2024-05-28 08:43:56+00:00,2024-05-28 08:45:32+00:00,81.03,69.6934375,96,96.0,9.0
2024-05-28 08:45:47+00:00,2024-05-28 08:46:08+00:00,67.52000000000001,66.27428571428571,21,21.0,111.0
2024-05-28 08:47:40+00:00,2024-05-28 08:47:59+00:00,78.18,70.82052631578948,19,19.0,82.0
2024-05-28 08:48:22+00:00,2024-05-28 08:48:25+00:00,70.11,68.3,3,3.0,42.0
2024-05-28 08:48:40+00:00,2024-05-28 08:48:46+00:00,78.8,70.07,6,6.0,18.0
2024-05-28 08:48:47+00:00,2024-05-28 08:49:58+00:00,82.17,70.37915492957747,71,71.0,7.0
2024-05-28 08:50:03+00:00,2024-05-28 08:51:35+00:00,80.27,73.44902173913043,92,92.0,76.0
2024-05-28 08:51:36+00:00,2024-05-28 08:52:12+00:00,84.34,71.20833333333333,36,36.0,93.0
2024-05-28 08:52:16+00:00,2024-05-28 08:55:18+00:00,88.43,73.22032967032968,182,182.0,40.0
2024-05-28 08:55:23+00:00,2024-05-28 08:55:26+00:00,65.50999999999999,65.39333333333333,3,3.0,187.0
2024-05-28 08:55:27+00:00,2024-05-28 08:55:32+00:00,65.62,65.26599999999999,5,5.0,4.0
2024-05-28 08:55:36+00:00,2024-05-28 08:56:53+00:00,88.84,73.08168831168831,77,77.0,9.0
2024-05-28 08:56:56+00:00,2024-05-28 08:57:02+00:00,68.69,66.54,6,6.0,80.0
2024-05-28 08:57:07+00:00,2024-05-28 08:57:25+00:00,74.12,69.66888888888889,18,18.0,11.0
2024-05-28 08:57:26+00:00,2024-05-28 08:59:09+00:00,86.28,72.11339805825243,103,103.0,19.0
2024-05-28 08:59:12+00:00,2024-05-28 09:00:11+00:00,73.55,67.78,59,59.0,106.0
2024-05-28 09:00:12+00:00,2024-05-28 09:00:21+00:00,67.72999999999999,66.35,9,9.0,60.0
2024-05-28 09:00:22+00:00,2024-05-28 09:01:32+00:00,79.58,70.7282857142857,70,70.0,10.0
2024-05-28 09:01:36+00:00,2024-05-28 09:04:06+00:00,83.24,70.79586666666665,150,150.0,74.0
2024-05-28 09:04:16+00:00,2024-05-28 09:04:19+00:00,66.2,65.64666666666666,3,3.0,160.0
2024-05-28 09:04:39+00:00,2024-05-28 09:06:04+00:00,85.45,72.07576470588235,85,85.0,23.0
2024-05-28 09:06:42+00:00,2024-05-28 09:08:43+00:00,79.78,70.33611570247933,121,121.0,123.0
2024-05-28 09:08:44+00:00,2024-05-28 09:10:46+00:00,80.77,70.6210655737705,122,122.0,122.0
2024-05-28 09:10:49+00:00,2024-05-28 09:10:57+00:00,69.46000000000001,67.32625,8,8.0,125.0
2024-05-28 09:11:11+00:00,2024-05-28 09:11:21+00:00,71.47999999999999,68.559,10,10.0,22.0
2024-05-28 09:11:36+00:00,2024-05-28 09:11:55+00:00,71.14,68.80894736842104,19,19.0,25.0
2024-05-28 09:11:59+00:00,2024-05-28 09:12:12+00:00,73.44,68.50846153846155,13,13.0,23.0
2024-05-28 09:12:20+00:00,2024-05-28 09:15:03+00:00,83.99,71.36785276073618,163,163.0,21.0
2024-05-28 09:15:07+00:00,2024-05-28 09:15:24+00:00,69.12,67.08,17,17.0,167.0
2024-05-28 09:15:33+00:00,2024-05-28 09:15:42+00:00,73.69,67.42666666666668,9,9.0,26.0
